Prompt tokens: 407, Completion tokens: 296, Total tokens: 703
Prompt tokens: 947, Completion tokens: 347, Total tokens: 1294
Prompt tokens: 527, Completion tokens: 394, Total tokens: 921
Prompt tokens: 601, Completion tokens: 435, Total tokens: 1036
Prompt tokens: 411, Completion tokens: 277, Total tokens: 688
Prompt tokens: 523, Completion tokens: 353, Total tokens: 876
Prompt tokens: 565, Completion tokens: 430, Total tokens: 995
Prompt tokens: 516, Completion tokens: 362, Total tokens: 878
Prompt tokens: 846, Completion tokens: 477, Total tokens: 1323
Prompt tokens: 862, Completion tokens: 443, Total tokens: 1305
Prompt tokens: 490, Completion tokens: 430, Total tokens: 920
Prompt tokens: 341, Completion tokens: 353, Total tokens: 694
Prompt tokens: 530, Completion tokens: 365, Total tokens: 895
Prompt tokens: 440, Completion tokens: 316, Total tokens: 756
Prompt tokens: 396, Completion tokens: 373, Total tokens: 769
Prompt tokens: 682, Completion tokens: 465, Total tokens: 1147
Prompt tokens: 548, Completion tokens: 457, Total tokens: 1005
Prompt tokens: 668, Completion tokens: 391, Total tokens: 1059
Prompt tokens: 454, Completion tokens: 398, Total tokens: 852
Prompt tokens: 1681, Completion tokens: 440, Total tokens: 2121
Prompt tokens: 448, Completion tokens: 319, Total tokens: 767
Prompt tokens: 518, Completion tokens: 437, Total tokens: 955
Prompt tokens: 480, Completion tokens: 394, Total tokens: 874
Prompt tokens: 846, Completion tokens: 426, Total tokens: 1272
Prompt tokens: 517, Completion tokens: 438, Total tokens: 955
Prompt tokens: 529, Completion tokens: 459, Total tokens: 988
Prompt tokens: 547, Completion tokens: 426, Total tokens: 973
Prompt tokens: 482, Completion tokens: 407, Total tokens: 889
Prompt tokens: 658, Completion tokens: 457, Total tokens: 1115
Prompt tokens: 576, Completion tokens: 472, Total tokens: 1048
Prompt tokens: 995, Completion tokens: 518, Total tokens: 1513
Prompt tokens: 638, Completion tokens: 457, Total tokens: 1095
Prompt tokens: 534, Completion tokens: 434, Total tokens: 968
Prompt tokens: 1251, Completion tokens: 463, Total tokens: 1714
Prompt tokens: 733, Completion tokens: 497, Total tokens: 1230
Prompt tokens: 1364, Completion tokens: 474, Total tokens: 1838
Prompt tokens: 881, Completion tokens: 497, Total tokens: 1378
Prompt tokens: 536, Completion tokens: 476, Total tokens: 1012
Prompt tokens: 432, Completion tokens: 408, Total tokens: 840
Prompt tokens: 509, Completion tokens: 483, Total tokens: 992
Prompt tokens: 683, Completion tokens: 481, Total tokens: 1164
Prompt tokens: 414, Completion tokens: 301, Total tokens: 715
Prompt tokens: 504, Completion tokens: 447, Total tokens: 951
Prompt tokens: 964, Completion tokens: 467, Total tokens: 1431
Prompt tokens: 403, Completion tokens: 372, Total tokens: 775
Prompt tokens: 1465, Completion tokens: 481, Total tokens: 1946
Prompt tokens: 611, Completion tokens: 502, Total tokens: 1113
Prompt tokens: 1030, Completion tokens: 473, Total tokens: 1503
Prompt tokens: 620, Completion tokens: 448, Total tokens: 1068
Prompt tokens: 2014, Completion tokens: 560, Total tokens: 2574
Prompt tokens: 673, Completion tokens: 468, Total tokens: 1141
Prompt tokens: 502, Completion tokens: 565, Total tokens: 1067
Prompt tokens: 421, Completion tokens: 443, Total tokens: 864
Prompt tokens: 759, Completion tokens: 520, Total tokens: 1279
Prompt tokens: 491, Completion tokens: 418, Total tokens: 909
Prompt tokens: 403, Completion tokens: 371, Total tokens: 774
Prompt tokens: 1311, Completion tokens: 527, Total tokens: 1838
Prompt tokens: 659, Completion tokens: 447, Total tokens: 1106
Prompt tokens: 730, Completion tokens: 550, Total tokens: 1280
Prompt tokens: 891, Completion tokens: 485, Total tokens: 1376
Prompt tokens: 767, Completion tokens: 560, Total tokens: 1327
Prompt tokens: 560, Completion tokens: 415, Total tokens: 975
Prompt tokens: 776, Completion tokens: 529, Total tokens: 1305
Prompt tokens: 1212, Completion tokens: 561, Total tokens: 1773
Prompt tokens: 793, Completion tokens: 590, Total tokens: 1383
Prompt tokens: 988, Completion tokens: 457, Total tokens: 1445
Prompt tokens: 482, Completion tokens: 413, Total tokens: 895
Prompt tokens: 448, Completion tokens: 440, Total tokens: 888
Prompt tokens: 653, Completion tokens: 468, Total tokens: 1121
Prompt tokens: 629, Completion tokens: 410, Total tokens: 1039
Prompt tokens: 728, Completion tokens: 602, Total tokens: 1330
Prompt tokens: 2102, Completion tokens: 476, Total tokens: 2578
Prompt tokens: 387, Completion tokens: 329, Total tokens: 716
Prompt tokens: 531, Completion tokens: 410, Total tokens: 941
Prompt tokens: 2269, Completion tokens: 502, Total tokens: 2771
Prompt tokens: 2085, Completion tokens: 473, Total tokens: 2558
Prompt tokens: 554, Completion tokens: 428, Total tokens: 982
Prompt tokens: 2791, Completion tokens: 589, Total tokens: 3380
Prompt tokens: 934, Completion tokens: 540, Total tokens: 1474
Prompt tokens: 490, Completion tokens: 489, Total tokens: 979
Prompt tokens: 530, Completion tokens: 507, Total tokens: 1037
Prompt tokens: 433, Completion tokens: 407, Total tokens: 840
Prompt tokens: 526, Completion tokens: 495, Total tokens: 1021
Prompt tokens: 738, Completion tokens: 588, Total tokens: 1326
Prompt tokens: 501, Completion tokens: 413, Total tokens: 914
Prompt tokens: 603, Completion tokens: 618, Total tokens: 1221
Prompt tokens: 909, Completion tokens: 475, Total tokens: 1384
Prompt tokens: 932, Completion tokens: 400, Total tokens: 1332
Prompt tokens: 2048, Completion tokens: 669, Total tokens: 2717
Prompt tokens: 2433, Completion tokens: 662, Total tokens: 3095
Prompt tokens: 3882, Completion tokens: 596, Total tokens: 4478
Prompt tokens: 2011, Completion tokens: 572, Total tokens: 2583
Prompt tokens: 5705, Completion tokens: 625, Total tokens: 6330
Prompt tokens: 730, Completion tokens: 523, Total tokens: 1253
Prompt tokens: 2773, Completion tokens: 567, Total tokens: 3340
Prompt tokens: 1014, Completion tokens: 600, Total tokens: 1614
Prompt tokens: 416, Completion tokens: 492, Total tokens: 908
Prompt tokens: 1190, Completion tokens: 660, Total tokens: 1850
Prompt tokens: 1032, Completion tokens: 655, Total tokens: 1687
Prompt tokens: 869, Completion tokens: 468, Total tokens: 1337
Prompt tokens: 1002, Completion tokens: 601, Total tokens: 1603
Prompt tokens: 3075, Completion tokens: 715, Total tokens: 3790
Prompt tokens: 594, Completion tokens: 514, Total tokens: 1108
Prompt tokens: 651, Completion tokens: 509, Total tokens: 1160
Prompt tokens: 2113, Completion tokens: 581, Total tokens: 2694
Prompt tokens: 1333, Completion tokens: 686, Total tokens: 2019
Prompt tokens: 2557, Completion tokens: 702, Total tokens: 3259
Prompt tokens: 539, Completion tokens: 506, Total tokens: 1045
Prompt tokens: 944, Completion tokens: 478, Total tokens: 1422
Prompt tokens: 653, Completion tokens: 571, Total tokens: 1224
Prompt tokens: 1330, Completion tokens: 500, Total tokens: 1830
Prompt tokens: 1197, Completion tokens: 573, Total tokens: 1770
Prompt tokens: 1105, Completion tokens: 705, Total tokens: 1810
Prompt tokens: 473, Completion tokens: 470, Total tokens: 943
Prompt tokens: 1636, Completion tokens: 530, Total tokens: 2166
Prompt tokens: 492, Completion tokens: 415, Total tokens: 907
Prompt tokens: 2492, Completion tokens: 585, Total tokens: 3077
Prompt tokens: 650, Completion tokens: 737, Total tokens: 1387
Prompt tokens: 1250, Completion tokens: 607, Total tokens: 1857
Prompt tokens: 1155, Completion tokens: 651, Total tokens: 1806
Prompt tokens: 664, Completion tokens: 453, Total tokens: 1117
Prompt tokens: 1347, Completion tokens: 636, Total tokens: 1983
Prompt tokens: 3417, Completion tokens: 693, Total tokens: 4110
Prompt tokens: 677, Completion tokens: 573, Total tokens: 1250
Prompt tokens: 3799, Completion tokens: 623, Total tokens: 4422
Prompt tokens: 583, Completion tokens: 523, Total tokens: 1106
Prompt tokens: 855, Completion tokens: 556, Total tokens: 1411
Prompt tokens: 642, Completion tokens: 485, Total tokens: 1127
Prompt tokens: 685, Completion tokens: 486, Total tokens: 1171
Prompt tokens: 1566, Completion tokens: 567, Total tokens: 2133
Prompt tokens: 551, Completion tokens: 519, Total tokens: 1070
Prompt tokens: 392, Completion tokens: 434, Total tokens: 826
Prompt tokens: 593, Completion tokens: 483, Total tokens: 1076
Prompt tokens: 1308, Completion tokens: 596, Total tokens: 1904
Prompt tokens: 864, Completion tokens: 500, Total tokens: 1364
Prompt tokens: 1138, Completion tokens: 609, Total tokens: 1747
Prompt tokens: 1350, Completion tokens: 493, Total tokens: 1843
Prompt tokens: 612, Completion tokens: 516, Total tokens: 1128
Prompt tokens: 954, Completion tokens: 615, Total tokens: 1569
Prompt tokens: 615, Completion tokens: 534, Total tokens: 1149
Prompt tokens: 1313, Completion tokens: 676, Total tokens: 1989
Prompt tokens: 983, Completion tokens: 581, Total tokens: 1564
Prompt tokens: 1928, Completion tokens: 533, Total tokens: 2461
Prompt tokens: 2078, Completion tokens: 633, Total tokens: 2711
Prompt tokens: 1376, Completion tokens: 620, Total tokens: 1996
Prompt tokens: 785, Completion tokens: 502, Total tokens: 1287
Prompt tokens: 2257, Completion tokens: 786, Total tokens: 3043
Prompt tokens: 1250, Completion tokens: 555, Total tokens: 1805
Prompt tokens: 4181, Completion tokens: 1000, Total tokens: 5181
